WiiAccX,WiiAccY,WiiAccZ,,,,CogX,CogY,,,cursorX,cursorY
-0.458333343,-0.208333328,0.875,0,0,0,-2.221163988,-2.116884708,0,0,651,121
-0.416666657,-0.208333328,0.833333313,0,0,0,-2.237942457,-2.138029575,0,0,660,121
-0.458333343,-0.208333328,0.833333313,0,0,0,-2.209192276,-2.133425951,0,0,663,121
-0.541666687,-0.25,0.875,0,0,0,-2.209192276,-2.133425951,0,0,669,120
-0.541666687,-0.208333328,0.875,0,0,0,-2.241235733,-2.164063931,0,0,673,119
-0.5,-0.208333328,0.875,0,0,0,-2.246531963,-2.156404257,0,0,677,119
-0.458333343,-0.208333328,0.875,0,0,0,-2.246638775,-2.151426792,0,0,681,119
-0.458333343,-0.208333328,0.833333313,0,0,0,-2.273976564,-2.148265362,0,0,684,119
-0.458333343,-0.208333328,0.875,0,0,0,-2.243918419,-2.132364511,0,0,689,119
-0.458333343,-0.208333328,0.875,0,0,0,-2.211761713,-2.11305666,0,0,695,119
-0.5,-0.208333328,0.875,0,0,0,-2.228084803,-2.072478294,0,0,701,119
-0.5,-0.208333328,0.875,0,0,0,-2.243494987,-2.07282567,0,0,706,118
-0.458333343,-0.208333328,0.875,0,0,0,-2.256758213,-2.078813314,0,0,711,117
-0.5,-0.208333328,0.916666687,0,0,0,-2.285751343,-2.080771446,0,0,713,116
-0.541666687,-0.208333328,0.916666687,0,0,0,-2.285751343,-2.080771446,0,0,716,116
-0.541666687,-0.208333328,0.833333313,0,0,0,-2.22343564,-2.076662302,0,0,717,116
-0.541666687,-0.208333328,0.791666687,0,0,0,-2.301828384,-2.058340311,0,0,719,116
-0.5,-0.208333328,0.833333313,0,0,0,-2.301828384,-2.058340311,0,0,722,116
-0.458333343,-0.166666672,0.875,0,0,0,-2.33195138,-2.0978899,0,0,726,116
-0.458333343,-0.166666672,0.916666687,0,0,0,-2.33195138,-2.0978899,0,0,730,116
